"cd_assunto_nivel_1","cd_assunto_nivel_2","cd_assunto_nivel_3","cd_assunto_nivel_4","cd_assunto_nivel_5"
"8826","55301","55309",,
"8826","55301","55309","55568",
"8826","55301","55309","55569",
"8826","55301","55309","55570",
"8826","55301","55310",,
"8826","55301","55310","55565",
"8826","55301","55311",,
"8826","55301","55546",,
"8826","55301","55547",,
"8826","55301","55547","55548",
"8826","55301","55547","55549",
"8826","55301","55547","55549","55550"
"8826","55301","55547","55549","55551"
"8826","55301","55547","55552",
"8826","55301","55547","55553",
"8826","55301","55554",,
"8826","55301","55554","55555",
"8826","55301","55556",,
"8826","55301","55556","55557",
"8826","55301","55556","55557","55558"
"8826","55301","55559",,
"8826","55301","55560",,
"8826","55301","55560","55561",
"8826","55301","55560","55562",
"8826","55301","55560","55563",
"8826","55301","55566",,
"8826","55301","55567",,
"8826","55301","55571",,
"8826","55301","55571","55572",
"8826","55301","55571","55573",
"8826","55301","55574",,
"8826","55301","55574","55575",
"8826","55301","55574","55576",
"8826","55301","55574","55576","55577"
"8826","55301","55578",,
"8826","55301","55579",,
"8826","55581",,,
"8826","55581","55582",,
"8826","55581","55583",,
"8826","55581","55583","55584",
"8826","55581","55583","55585",
"8826","55581","55583","55586",
"8826","55581","55583","55587",
"8826","55581","55588",,
"8826","55581","55589",,
"8826","55581","55590",,
"8826","55581","55591",,
"8826","55581","55592",,
"8826","55581","55593",,
"8826","55581","55594",,
"8826","55581","55595",,
"8826","55596",,,
"8826","55596","55597",,
"8826","55596","55597","55598",
"8826","55596","55597","55599",
"8826","55596","55597","55600",
"8826","55596","55597","55601",
"8826","55596","55597","55602",
"8826","55596","55597","55603",
"8826","55596","55604",,
"8826","55596","55604","55605",
"8826","55596","55604","55606",
"8826","55596","55604","55607",
"8826","55596","55604","55608",
"8826","55596","55604","55609",
"8826","55596","55610",,
"8826","55596","55610","55611",
"8826","55596","55610","55612",
"8826","55596","55610","55613",
"8826","55596","55610","55614",
"8826","55596","55610","55615",
"8826","55596","55610","55616",
"8826","55596","55610","55617",
"8826","55596","55610","55618",
"8826","55619",,,
"8826","55619","55620",,
"8826","55619","55620","55621",
"8826","55619","55622",,
"8826","55619","55622","55623",
"8826","55619","55622","55624",
"8826","55619","55622","55625",
"8826","55619","55622","55626",
"8826","55619","55627",,
"8826","55619","55627","55628",
"8826","55619","55627","55628","55629"
"8826","55619","55627","55628","55630"
"8826","55619","55627","55628","55631"
"8826","55619","55627","55632",
"8826","55619","55627","55632","55633"
"8826","55619","55634",,
"8826","55619","55634","55635",
"8826","55619","55634","55636",
"8826","8828",,,
"8826","8828","55456",,
"8826","8828","8829",,
"8826","8828","8829","10652",
"8826","8828","8829","10652","55441"
"8826","8828","8829","10652","55442"
"8826","8828","8829","10652","55443"
"8826","8828","8829","10652","55444"
"8826","8828","8829","10652","55445"
"8826","8828","8829","10652","55446"
"8826","8828","8829","10652","55447"
"8826","8828","8829","10652","55448"
"8826","8828","8829","10652","55449"
"8826","8828","8829","10652","55450"
"8826","8828","8829","10653",
"8826","8828","8829","10654",
"8826","8828","8829","10901",
"8826","8828","8829","55257",
"8826","8828","8829","55258",
"8826","8828","8829","55258","55451"
"8826","8828","8829","55258","55452"
"8826","8828","8829","55259",
"8826","8828","8829","55259","55453"
"8826","8828","8829","55259","55454"
"8826","8828","8829","55259","55455"
"8826","8828","8829","55260",
"8826","8828","8838",,
"8826","8828","8838","55457",
"8826","8828","8838","55458",
"8826","8842",,,
"8826","8842","8843",,
"8826","8842","8859",,
"8826","8842","8859","55226",
"8826","8842","8859","55482",
"8826","8842","8859","55483",
"8826","8842","8859","55484",
"8826","8842","8866",,
"8826","8842","8867",,
"8826","8842","8868",,
"8826","8842","8868","55485",
"8826","8842","8868","55486",
"8826","8842","8868","55487",
"8826","8842","8868","55488",
"8826","8842","8873",,
"8826","8842","8873","55489",
"8826","8842","8873","55490",
"8826","8842","8874",,
"8826","8842","8874","10655",
"8826","8842","8874","10655","55228"
"8826","8842","8874","10656",
"8826","8842","8874","10657",
"8826","8842","8874","10658",
"8826","8842","8874","55491",
"8826","8842","8874","55492",
"8826","8842","8874","55492","55493"
"8826","8842","8874","55492","55494"
"8826","8842","8874","55492","55495"
"8826","8842","8874","55492","55496"
